"X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11"
"72" 0.513999999999998 0.811 0.0492 0.003335 1.0811 0.00086 55.298 7.07 0.010684904 1226.53 0.01815361
"73" 0.297999999999999 0.802 0.0394 0.00347 1.0802 0.00077 57.836 7.04 0.00801722799999999 1284.46 0.01792602
"74" 0.118000000000002 0.793 0.0295999999999999 0.003605 1.0793 0.000679999999999999 60.374 7.01 0.00534955199999997 1342.39 0.01769843
"75" 0.334000000000001 0.784 0.0198 0.00374 1.0784 0.00059 62.912 6.98 0.002681876 1400.32 0.01747084
"76" 0.549999999999999 0.775 0.01 0.003875 1.0775 5e-04 65.45 6.95 1.42e-05 1458.25 0.01724325
"77" 0.766 0.766 0.0198 0.00401 1.0766 0.00059 67.988 6.92 0.002681876 1516.18 0.01701566
"78" 0.981999999999999 0.757 0.0295999999999999 0.004145 1.0757 0.000679999999999999 70.526 6.89 0.00534955199999997 1574.11 0.01678807
"79" 0.801999999999998 0.748 0.0394 0.00428 1.0748 0.00077 73.064 6.86 0.00801722800000001 1632.04 0.01656048
"80" 0.585999999999999 0.739 0.0492 0.004415 1.0739 0.00086 75.602 6.83 0.010684904 1689.97 0.01633289
"81" 0.370000000000001 0.73 0.059 0.00455 1.073 0.00095 78.14 6.8 0.01335258 1747.9 0.0161053
"82" 0.153999999999998 0.721 0.0688000000000001 0.004685 1.0721 0.00104 80.678 6.77 0.016020256 1805.83 0.01587771
"83" 0.262000000000001 0.712 0.0785999999999999 0.00482 1.0712 0.00113 83.216 6.74 0.018687932 1863.76 0.01565012
"84" 0.478000000000002 0.703 0.0884000000000001 0.004955 1.0703 0.00122 85.754 6.71 0.021355608 1921.69 0.01542253
"85" 0.694000000000001 0.694 0.0982 0.00491 1.0694 0.00131 84.908 6.68 0.024023284 1902.38 0.01519494
"86" 0.910000000000001 0.685 0.108 0.004775 1.0685 0.0014 82.37 6.65 0.02669096 1844.45 0.01496735
"87" 0.874 0.676 0.1178 0.00464 1.0676 0.00149 79.832 6.62 0.029358636 1786.52 0.01473976
"88" 0.658000000000001 0.667 0.1276 0.004505 1.0667 0.00158 77.294 6.59 0.032026312 1728.59 0.01451217
"89" 0.441999999999998 0.658 0.1374 0.00437 1.0658 0.00167 74.756 6.56 0.034693988 1670.66 0.01428458
"90" 0.225999999999999 0.649 0.1472 0.004235 1.0649 0.00176 72.218 6.53 0.037361664 1612.73 0.01405699
"91" 0.190000000000003 0.64 0.157 0.0041 1.064 0.00185 69.68 6.5 0.04002934 1554.8 0.0138294
"92" 0.406000000000002 0.631 0.1668 0.003965 1.0631 0.00194 67.142 6.47 0.042697016 1496.87 0.01360181
"93" 0.622000000000001 0.622 0.1766 0.00383 1.0622 0.00203 64.604 6.44 0.045364692 1438.94 0.01337422
"94" 0.838000000000004 0.613 0.1864 0.003695 1.0613 0.00212 62.066 6.41 0.048032368 1381.01 0.01314663
"95" 0.946000000000002 0.604 0.1962 0.00356 1.0604 0.00221 59.528 6.38 0.050700044 1323.08 0.01291904
"96" 0.729999999999999 0.595 0.206 0.003425 1.0595 0.0023 56.99 6.35 0.05336772 1265.15 0.01269145
"97" 0.514 0.586 0.2158 0.00329 1.0586 0.00239 54.452 6.32 0.056035396 1207.22 0.01246386
"98" 0.298000000000001 0.577 0.2256 0.003155 1.0577 0.00248 51.914 6.29 0.058703072 1149.29 0.01223627
"99" 0.118000000000001 0.568 0.2354 0.00302 1.0568 0.00257 49.376 6.26 0.061370748 1091.36 0.01200868
