gw_mix	percop	ratem	kex	kt	kdif	DTsoil 	DTwater	Kpwater	Kpsoil	Kpsed
0.298	0.154	0.1178	0.00203	1.0298	0.00077	30.764	5.36	0.0080172 	666.54	0.00518098
0.298	0.298	0.0394	0.00203	1.0298	0.00077	30.764	5.36	0.0080172 	666.54	0.00518098
0.298	0.298	0.0394	0.00203	1.0298	0.00077	30.764	5.36	0.0080172 	666.54	0.00518098
0.775	0.1	0.3775	0.003875	1.055	5.00E-04	65.45	6.95	0.0000142 	1458.25	0.01724325
0.415	0.28	0.0345	0.002075	1.028	0.000725	31.61	5.3	0.0066834 	685.85	0.0206571
0.118	0.307	0.0296	0.001895	1.0307	0.00068	28.226	5.39	0.0053496 	608.61	0.00540857
0.775	0.1	0.3775	0.003875	1.01	0.00275	65.45	6.95	0.0000142 	1458.25	0.01724325
0.298	0.802	0.0394	0.00347	1.0802	0.00077	57.836	7.04	0.0080172 	1284.46	0.01792602
0.775	0.1	0.3775	0.00275	1.0775	5.00E-04	65.45	6.95	0.0000142 	1458.25	0.01724325
0.775	0.1	0.3775	0.003875	1.01	0.003875	44.3	6.95	0.0000142 	1458.25	0.01724325
0.37	0.19	0.059	0.00185	1.019	0.00095	27.38	5.6	0.0133526 	203.1	0.0070017
0.37	0.19	0.059	0.00185	1.019	0.00095	27.38	5.6	0.0133526 	203.1	0.0070017
0.118	0.793	0.0296	0.003605	1.0793	0.00068	60.374	7.01	0.0053496 	1342.39	0.01769843
0.262	0.388	0.0786	0.00068	1.0388	0.00113	5.384	5.66	0.0186879 	87.24	0.00745688
0.775	0.1	0.3775	0.003875	1.01	0.003875	65.45	6.2	0.0000142 	1458.25	0.01724325
0.406	0.262	0.3334	0.00059	1.0406	0.00131	3.692	5.72	0.0240233 	48.62	0.00791206
0.154	0.379	0.0688	0.000815	1.0379	0.00104	7.922	5.63	0.0160203 	145.17	0.00722929
0.775	0.1	0.255	0.003875	1.0775	5.00E-04	65.45	6.95	0.0000142 	1458.25	0.01724325
0.379	0.208	0.0443	0.001895	1.0208	0.000815	28.226	4.88	0.0160203 	145.17	0.00722929
0.37	0.19	0.059	0.00185	1.019	0.00185	10.46	5.6	0.0133526 	203.1	0.0070017
0.37	0.19	0.059	0.00185	1.037	0.00095	10.46	5.6	0.0133526 	203.1	0.0070017
0.37	0.19	0.059	0.00185	1.037	0.00095	10.46	5.6	0.0133526 	203.1	0.0070017
0.532	0.514	0.2256	0.00266	1.0514	0.00248	42.608	6.08	0.0587031 	48.62	0.01109832
0.289	0.172	0.1913	0.001445	1.0172	0.002165	19.766	6.08	0.0106849 	724.47	0.00495339
0.775	0.55	0.01	0.003875	1.0775	5.00E-04	65.45	6.95	0.0000142 	1458.25	0.01724325
0.415	0.91	0.108	0.000725	1.0415	0.0014	6.23	5.75	0.0266910 	106.55	0.00813965
0.289	0.172	0.2354	0.002165	1.0289	0.00086	33.302	5.33	0.0106849 	724.47	0.00495339
0.766	0.334	0.0198	0.00149	1.0334	0.00059	20.612	5.48	0.0026819 	434.82	0.00609134
0.415	0.28	0.0345	0.002075	1.028	0.000725	31.61	5.3	0.0066834 	1747.9	0.00813965
0.604	0.658	0.3432	0.00302	1.0658	0.00356	49.376	6.56	0.0080172 	1323.08	0.01291904
0.289	0.172	0.1913	0.001445	1.0172	0.002165	40.916	5.33	0.0106849 	724.47	0.00495339
0.289	0.172	0.1913	0.00257	1.0289	0.00086	33.302	5.33	0.0106849 	724.47	0.00495339
0.289	0.172	0.1913	0.001445	1.0172	0.00257	33.302	5.33	0.0106849 	724.47	0.00495339
0.19	0.73	0.353	0.00095	1.073	0.00365	10.46	6.8	0.0133526 	1361.7	0.0024499
0.424	0.802	0.0492	0.00212	1.0802	0.00086	32.456	7.04	0.0106849 	705.16	0.00336026
0.388	0.226	0.0982	0.00068	1.0388	0.00113	5.384	5.66	0.0186879 	87.24	0.00745688
0.289	0.514	0.0492	0.002165	1.0289	0.00086	33.302	5.33	0.0106849 	724.47	0.00495339
0.289	0.172	0.1913	0.001445	1.0514	0.00086	33.302	5.33	0.0106849 	724.47	0.00495339
0.379	0.208	0.0443	0.001895	1.0208	0.000815	28.226	5.06	0.0093511 	608.61	0.00153954
0.379	0.154	0.0688	0.000815	1.0379	0.00104	7.922	5.63	0.0160203 	145.17	0.00722929
0.379	0.208	0.0443	0.001895	1.0208	0.00077	7.922	5.63	0.0160203 	145.17	0.00722929
0.379	0.208	0.0443	0.00077	1.0379	0.00104	7.922	5.63	0.0160203 	145.17	0.00722929
0.388	0.262	0.0786	0.00068	1.0388	0.00113	5.384	5.66	0.0186879 	87.24	0.00745688
0.379	0.208	0.0443	0.001895	1.0154	0.00104	7.922	5.63	0.0160203 	145.17	0.00722929
0.379	0.208	0.0394	0.000815	1.0379	0.00104	7.922	5.63	0.0160203 	145.17	0.00722929
1	0.55	0.01	0.005	1.055	5.00E-04	86.6	6.2	0.0667061 	10	0.022933
1	0.55	0.01	0.005	1.055	5.00E-04	86.6	6.2	0.0667061 	10	0.022933
0.37	0.91	0.059	0.00185	1.091	0.00095	27.38	7.4	0.0133526 	589.3	0.0161053
0.586	0.361	0.0492	0.001085	1.0361	0.00086	12.998	5.57	0.0106849 	261.03	0.00677411
