date	1	2	3	4	5
2016-08-24	0	0	0	0	0
2016-08-25	0	0	0	0	0
2016-08-26	0	0	0	0	0
2016-08-27	0	0	0	0	0
2016-08-28	0	0	0	0	0
2016-08-29	0	0	0	0	0
2016-08-30	0	0	0	0	0
2016-08-31	0	0	0	0	0
2016-09-01	0	0	0	0	0
2016-09-02	0	0	0	0	0
2016-09-03	0	0	0	0	0
2016-09-04	0	0	0	0	0
2016-09-05	0	0	0	0	0
2016-09-06	0.200000016	0	0.200000016	0.6	0
2016-09-07	0.400000032	0	0.80000004	1.299999912	0
2016-09-08	0	0	0	0	0
2016-09-09	0	0	0	0	0
2016-09-10	0	0	0	0.200000016	0
2016-09-11	0	0	0	0	0
2016-09-12	0	0	0	0	0
2016-09-13	0	0	0	0	0
2016-09-14	0	0	0	0	0
2016-09-15	7.90000032	0	9.3999996	9.50000016	0
2016-09-16	23.10000096	0	23.7	25.3000008	0
2016-09-17	0.200000016	0	0	0.100000008	0
2016-09-18	0	4.5	0	0	4.5
2016-09-19	0	0	0	0	0
2016-09-20	0	0	0	0	0
2016-09-21	0	0	0	0	0
2016-09-22	0	0	0	0	0
2016-09-23	0	0	0	0	0
2016-09-24	0	0	0	0	0
2016-09-25	0	0	0	0	0
2016-09-26	0	0	0	0	0
2016-09-27	0	0	0	0	0
2016-09-28	5.3000004	8.6000004	3	16.1000004	8.6000004
2016-09-29	16.59999984	24.1999992	30.5000016	40.2000024	24.1999992
2016-09-30	42.5000016	48.9000024	45.4000032	62.0999976	48.9000024
2016-10-01	5.80000008	5.09999976	5.09999976	5.80000008	5.09999976
2016-10-02	3.59999976	4.2	6.30000048	7.80000048	4.2
2016-10-03	0.100000008	0.100000008	0.200000016	0.100000008	0.100000008
2016-10-04	0	0	0	0	0
2016-10-05	0	0	0	0	0
2016-10-06	0	0	0	0	0
2016-10-07	6.09999984	9.50000016	10.6000008	8.00000016	9.50000016
2016-10-08	0	0	0	0	0
2016-10-09	0	0	0	0	0
2016-10-10	0	0	0	0	0
2016-10-11	0	0	0	0.200000016	0
2016-10-12	0	0	0	0	0
2016-10-13	0	0	0	0	0
2016-10-14	0	0	0	0.3	0
2016-10-15	0.100000008	0	0	0	0
2016-10-16	0	0	0	0	0
2016-10-17	0	0	0	0	0
2016-10-18	0	0	0	0	0
2016-10-19	0	0	0	0	0
2016-10-20	0	44.3695584	44.3695584	44.3695584	44.3695584
2016-10-21	0	7.21786512	7.21786512	7.21786512	7.21786512
2016-10-22	0.200000016	23.59085664	23.59085664	23.59085664	23.59085664
2016-10-23	0	0	0	0	0
2016-10-24	0.200000016	0	0	0	0
2016-10-25	0.400000032	4.53069456	4.53069456	4.53069456	4.53069456
2016-10-26	0.6	47.2129584	47.2129584	47.2129584	47.2129584
2016-10-27	0	3.4995708	3.4995708	3.4995708	3.4995708
2016-10-28	8.7801732	8.7801732	8.7801732	8.7801732	8.7801732
2016-10-29	19.0914072	19.0914072	19.0914072	19.0914072	19.0914072
2016-10-30	18.5289792	18.5289792	18.5289792	18.5289792	18.5289792
2016-10-31	21.43487112	21.43487112	21.43487112	21.43487112	21.43487112
2016-11-01	0	0	0	0	0
2016-11-02	0	0	0	0	0
2016-11-03	0	0	0	0	0
2016-11-04	0.73615176	0.73615176	0.73615176	0.73615176	0.73615176
2016-11-05	0	0	0	0	0
2016-11-06	0	0	0	0	0
2016-11-07	6.7592112	6.7592112	6.7592112	6.7592112	6.7592112
2016-11-08	6.45805776	6.45805776	6.45805776	6.45805776	6.45805776
2016-11-09	5.019216	5.019216	5.019216	5.019216	5.019216
2016-11-10	0	0	0	0	0
2016-11-11	0.434998728	0.434998728	0.434998728	0.434998728	0.434998728
2016-11-12	1.33845768	1.33845768	1.33845768	1.33845768	1.33845768
2016-11-13	0.234230064	0.234230064	0.234230064	0.234230064	0.234230064
2016-11-14	0	0	0	0	0
2016-11-15	0.167307202	0.167307202	0.167307202	0.167307202	0.167307202
2016-11-16	0.70269024	0.70269024	0.70269024	0.70269024	0.70269024
2016-11-17	5.755368	5.755368	5.755368	5.755368	5.755368
2016-11-18	7.2945936	7.2945936	7.2945936	7.2945936	7.2945936
2016-11-19	0	0	0	0	0
2016-11-20	0	0	0	0	0
2016-11-21	32.55798	32.55798	32.55798	32.55798	32.55798
2016-11-22	0	0	0	0	0
2016-11-23	2.777299584	2.777299584	2.777299584	2.777299584	2.777299584
2016-11-24	0.60230592	0.60230592	0.60230592	0.60230592	0.60230592
2016-11-25	0	0	0	0	0
2016-11-26	0	0	0	0	0
2016-11-27	0	0	0	0	0
2016-11-28	0	0	0	0	0
2016-11-29	0	0.100000008	0	0	0.100000008
2016-11-30	3.49999992	0	2.499999936	3.20000016	0
2016-12-01	0	0	0	0	0
2016-12-02	0	0	0	0	0
2016-12-03	0	0.100000008	0	0	0.100000008
